Age,Annual_Income,Spending_Score,Marital_Status,Profession,Segment
64,24088,5,Married,Engineer,0
60,100764,98,Married,Engineer,1
38,41180,60,Married,Lawyer,0
20,106092,84,Single,Doctor,1
54,64363,53,Single,Engineer,0
57,101677,94,Married,Artist,1
37,107712,61,Married,Business,1
57,52602,45,Single,Business,0
47,106069,84,Single,Artist,1
28,63355,1,Married,Engineer,0
33,119749,75,Married,Teacher,1
50,119811,67,Single,Business,1
20,80846,73,Married,Lawyer,1
21,22011,34,Single,Artist,0
40,100159,85,Married,Artist,1
25,21141,41,Married,Doctor,0
22,61689,59,Married,Lawyer,0
23,23112,10,Single,Business,0
30,37761,39,Single,Artist,0
61,141813,62,Married,Engineer,1
58,57383,31,Married,Doctor,0
38,28179,24,Married,Lawyer,0
57,135479,74,Single,Engineer,1
41,69879,30,Single,Engineer,0
53,107532,87,Single,Engineer,1
43,83756,92,Single,Lawyer,1
61,26142,53,Married,Engineer,0
57,90478,95,Married,Lawyer,1
39,80077,76,Single,Engineer,1
35,35223,21,Single,Engineer,0
61,105289,79,Married,Business,1
19,130990,72,Married,Engineer,1
33,36724,53,Married,Doctor,0
21,74306,47,Married,Artist,0
39,42010,11,Married,Teacher,0
42,33074,58,Married,Business,0
27,26980,13,Married,Engineer,0
18,148866,99,Single,Engineer,1
61,108024,70,Single,Engineer,1
27,48933,19,Married,Artist,0
45,136570,86,Married,Teacher,1
50,119711,87,Married,Teacher,1
25,118638,63,Single,Doctor,1
20,132736,85,Single,Doctor,1
61,113496,86,Single,Lawyer,1
41,122808,81,Married,Doctor,1
21,55634,17,Married,Engineer,0
29,127295,80,Married,Lawyer,1
37,24658,36,Single,Engineer,0
42,56598,34,Single,Teacher,0
23,91246,92,Married,Artist,1
64,84018,78,Single,Business,1
37,79582,51,Single,Doctor,0
42,103930,79,Single,Teacher,1
38,37514,9,Single,Engineer,0
38,79156,31,Married,Business,0
47,97144,99,Married,Business,1
24,37740,50,Married,Engineer,0
48,79613,4,Married,Lawyer,0
56,26370,39,Single,Business,0
52,97260,80,Single,Doctor,1
31,124261,88,Married,Engineer,1
38,126732,95,Married,Artist,1
53,59864,4,Married,Lawyer,0
26,91023,94,Married,Engineer,1
39,90267,85,Married,Lawyer,1
41,129376,63,Single,Lawyer,1
38,68796,45,Married,Engineer,0
46,67717,54,Married,Engineer,0
63,95328,82,Married,Artist,1
38,29794,58,Married,Engineer,0
36,75398,8,Single,Teacher,0
40,81542,68,Single,Teacher,1
43,103386,76,Single,Teacher,1
63,79659,13,Married,Doctor,0
20,53866,6,Single,Doctor,0
27,30651,23,Married,Business,0
60,71222,14,Married,Engineer,0
38,51600,3,Single,Doctor,0
52,96389,77,Married,Teacher,1
55,124425,81,Married,Engineer,1
58,43377,31,Single,Teacher,0
49,125587,88,Single,Teacher,1
43,80922,87,Single,Business,1
33,81252,68,Single,Doctor,1
64,104466,64,Single,Doctor,1
64,70100,1,Single,Engineer,0
36,103061,99,Single,Business,1
58,124247,70,Married,Business,1
55,136793,75,Married,Business,1
58,36021,49,Married,Doctor,0
47,97368,61,Married,Doctor,1
52,50930,45,Single,Business,0
53,22800,16,Married,Teacher,0
41,78643,22,Single,Teacher,0
25,91954,98,Single,Business,1
27,124327,66,Single,Engineer,1
62,50129,4,Single,Business,0
58,54587,47,Single,Business,0
52,102700,77,Married,Teacher,1
51,37297,45,Single,Engineer,0
62,138141,70,Single,Lawyer,1
33,147661,76,Married,Doctor,1
29,118518,97,Married,Doctor,1
58,50119,60,Single,Artist,0
44,114911,67,Single,Lawyer,1
45,143932,98,Married,Lawyer,1
46,84324,80,Married,Business,1
35,80055,99,Married,Business,1
44,54228,23,Single,Lawyer,0
26,124028,94,Married,Lawyer,1
54,25374,33,Married,Doctor,0
30,60379,45,Married,Business,0
49,149172,86,Married,Lawyer,1
61,75811,49,Single,Business,0
42,53755,18,Married,Business,0
36,29168,35,Single,Doctor,0
51,37373,26,Single,Business,0
20,100150,92,Married,Engineer,1
33,145441,92,Single,Engineer,1
34,67192,14,Single,Doctor,0
19,34140,15,Single,Doctor,0
53,85240,76,Married,Doctor,1
51,27156,42,Single,Business,0
61,25410,2,Married,Engineer,0
20,136397,61,Single,Artist,1
21,38710,18,Married,Business,0
41,99216,78,Married,Doctor,1
53,38058,47,Married,Engineer,0
31,70500,22,Married,Business,0
45,50373,12,Single,Teacher,0
23,23744,18,Married,Teacher,0
48,53110,19,Married,Artist,0
47,107355,77,Married,Engineer,1
63,60486,51,Single,Teacher,0
52,86090,78,Married,Teacher,1
43,41909,2,Married,Teacher,0
62,62752,11,Single,Doctor,0
33,102415,77,Single,Engineer,1
39,69416,50,Married,Business,0
50,36789,25,Married,Business,0
49,103524,69,Married,Doctor,1
32,35037,54,Single,Doctor,0
26,146234,74,Single,Doctor,1
50,135771,71,Single,Business,1
37,26716,34,Married,Artist,0
38,75077,44,Married,Teacher,0
45,91694,89,Married,Business,1
63,60197,14,Married,Doctor,0
31,132638,62,Married,Engineer,1
27,64409,5,Married,Lawyer,0
41,147641,82,Married,Business,1
61,138017,97,Single,Teacher,1
47,140692,88,Single,Artist,1
45,103275,73,Single,Artist,1
57,26439,58,Single,Lawyer,0
64,147779,79,Married,Doctor,1
36,54215,8,Married,Doctor,0
49,79340,34,Single,Artist,0
25,147444,77,Married,Engineer,1
18,64517,31,Married,Teacher,0
46,115547,81,Married,Lawyer,1
21,146703,92,Married,Artist,1
61,38351,28,Married,Lawyer,0
32,123303,73,Married,Lawyer,1
37,54285,52,Single,Business,0
58,98017,100,Single,Artist,1
45,103833,89,Married,Engineer,1
43,106962,64,Single,Doctor,1
37,119224,62,Single,Teacher,1
46,85287,75,Married,Artist,1
24,85713,87,Single,Doctor,1
28,142292,86,Married,Lawyer,1
41,20726,12,Married,Artist,0
37,49165,31,Married,Lawyer,0
42,143076,86,Single,Doctor,1
39,136178,100,Married,Engineer,1
59,77517,18,Married,Lawyer,0
21,28259,48,Single,Engineer,0
41,50519,56,Married,Teacher,0
25,118494,62,Married,Artist,1
54,84835,97,Single,Doctor,1
53,63732,45,Single,Engineer,0
28,95305,87,Single,Business,1
47,72425,23,Married,Engineer,0
38,20141,5,Married,Artist,0
22,30412,51,Married,Artist,0
23,62849,54,Single,Lawyer,0
46,107192,67,Married,Business,1
42,144291,78,Single,Engineer,1
20,72395,35,Single,Business,0
59,62070,8,Married,Business,0
32,101447,83,Married,Doctor,1
36,66037,27,Single,Doctor,0
31,57465,29,Married,Artist,0
46,69812,32,Married,Engineer,0
43,88512,68,Married,Lawyer,1
49,50112,30,Single,Engineer,0
26,99870,83,Married,Artist,1
47,57396,11,Married,Artist,0
51,99029,90,Single,Doctor,1
55,123221,62,Single,Engineer,1
36,128447,64,Single,Business,1
63,53160,36,Married,Business,0
57,94388,69,Married,Teacher,1
23,80404,84,Married,Lawyer,1
62,119081,84,Single,Lawyer,1
62,79871,57,Single,Business,0
49,57346,41,Single,Teacher,0
23,99758,97,Single,Business,1
25,89435,61,Single,Teacher,1
41,63056,39,Married,Engineer,0
43,144644,72,Married,Business,1
61,47005,13,Single,Business,0
24,49075,55,Married,Artist,0
56,109486,90,Single,Teacher,1
45,129407,94,Single,Lawyer,1
34,34567,37,Married,Artist,0
30,51655,11,Single,Engineer,0
60,32763,43,Married,Engineer,0
36,87239,72,Single,Teacher,1
24,21492,16,Married,Teacher,0
37,136800,83,Single,Lawyer,1
63,80302,95,Single,Teacher,1
50,103960,94,Married,Teacher,1
28,36087,4,Married,Engineer,0
61,117841,88,Single,Teacher,1
39,61814,32,Single,Artist,0
49,126427,81,Single,Artist,1
61,25075,17,Single,Engineer,0
50,133441,98,Married,Engineer,1
48,93718,83,Married,Teacher,1
26,53539,35,Married,Lawyer,0
19,88335,93,Married,Lawyer,1
26,119298,97,Single,Lawyer,1
60,62903,37,Single,Artist,0
28,41312,54,Married,Business,0
53,30516,25,Married,Engineer,0
26,89865,71,Single,Business,1
26,117441,78,Single,Engineer,1
53,80126,72,Single,Doctor,1
25,52220,12,Single,Business,0
39,66619,13,Single,Artist,0
41,95485,89,Single,Doctor,1
54,93046,69,Single,Engineer,1
52,65496,34,Single,Artist,0
58,107446,83,Single,Business,1
44,69062,23,Single,Business,0
44,26031,37,Married,Lawyer,0
47,136819,72,Married,Doctor,1
36,36390,9,Single,Artist,0
48,71120,1,Single,Artist,0
63,31172,16,Married,Teacher,0
28,73470,33,Single,Business,0
64,116976,89,Married,Teacher,1
56,94397,76,Single,Artist,1
42,29428,21,Single,Lawyer,0
52,110355,80,Married,Engineer,1
44,87561,97,Married,Business,1
49,76526,60,Married,Artist,0
20,144772,64,Single,Teacher,1
41,58429,27,Married,Teacher,0
64,40584,1,Married,Doctor,0
19,49808,8,Single,Engineer,0
44,90975,89,Single,Doctor,1
27,40215,59,Married,Lawyer,0
33,46957,47,Single,Engineer,0
31,28210,52,Single,Lawyer,0
40,135176,93,Married,Engineer,1
57,73798,11,Single,Lawyer,0
23,48803,5,Single,Engineer,0
20,48939,60,Married,Doctor,0
20,62092,30,Married,Doctor,0
56,84000,85,Single,Engineer,1
44,81917,94,Single,Teacher,1
26,63472,57,Married,Engineer,0
43,121430,82,Single,Doctor,1
56,66737,49,Single,Business,0
39,81062,61,Married,Artist,1
26,42760,21,Single,Artist,0
49,116244,94,Married,Doctor,1
25,36843,47,Single,Artist,0
19,93456,77,Married,Teacher,1
18,86970,71,Single,Artist,1
49,56116,50,Married,Artist,0
32,103959,97,Married,Artist,1
31,53154,51,Married,Engineer,0
45,89446,73,Married,Business,1
25,115270,89,Married,Teacher,1
44,72892,40,Single,Doctor,0
49,111921,98,Married,Teacher,1
19,138596,73,Single,Artist,1
49,40384,18,Single,Teacher,0
18,54542,17,Married,Business,0
32,78414,45,Married,Artist,0
54,76941,56,Single,Business,0
42,26416,29,Single,Artist,0
43,31381,18,Married,Teacher,0
47,107632,89,Single,Engineer,1
33,62946,3,Single,Teacher,0
57,144323,94,Single,Engineer,1
37,135645,94,Single,Doctor,1
59,72781,50,Single,Teacher,0
54,101949,97,Single,Lawyer,1
22,148904,75,Single,Engineer,1
46,118304,86,Single,Lawyer,1
37,36232,52,Married,Engineer,0
58,137108,86,Married,Lawyer,1
23,52808,7,Single,Doctor,0
59,62409,46,Married,Artist,0
53,26796,31,Single,Engineer,0
50,64602,55,Single,Artist,0
45,135318,82,Single,Doctor,1
56,105470,83,Married,Doctor,1
39,119666,87,Single,Doctor,1
45,78810,19,Single,Doctor,0
38,75915,59,Single,Lawyer,0
47,88415,96,Married,Lawyer,1
50,103624,85,Married,Teacher,1
22,137799,62,Married,Artist,1
23,129922,72,Single,Business,1
50,142981,85,Married,Artist,1
31,144895,92,Married,Doctor,1
60,139207,85,Married,Teacher,1
52,116668,83,Married,Teacher,1
64,44765,53,Single,Engineer,0
53,122078,73,Single,Business,1
41,36018,20,Single,Artist,0
33,39086,57,Married,Lawyer,0
20,67498,3,Married,Doctor,0
30,68781,35,Single,Engineer,0
45,42190,15,Single,Engineer,0
36,66403,41,Married,Business,0
59,104519,89,Single,Business,1
22,144435,97,Married,Engineer,1
30,32109,34,Married,Engineer,0
22,72888,13,Married,Artist,0
21,39835,40,Single,Lawyer,0
54,145310,71,Married,Engineer,1
51,70914,28,Married,Lawyer,0
29,29528,4,Single,Engineer,0
39,72893,34,Married,Doctor,0
18,116187,94,Married,Doctor,1
28,149836,83,Single,Artist,1
54,96478,64,Single,Lawyer,1
59,79711,17,Married,Lawyer,0
44,101732,92,Married,Lawyer,1
41,36299,50,Single,Lawyer,0
20,114674,90,Married,Engineer,1
19,29122,32,Married,Teacher,0
33,38990,22,Married,Teacher,0
45,116586,89,Married,Business,1
38,108746,63,Married,Artist,1
52,99262,90,Single,Artist,1
38,32497,4,Single,Lawyer,0
42,84158,81,Married,Business,1
32,128136,63,Married,Lawyer,1
19,49009,35,Single,Business,0
22,33395,50,Single,Engineer,0
45,30233,60,Single,Artist,0
40,123925,100,Married,Engineer,1
18,106790,79,Single,Teacher,1
21,50462,50,Married,Artist,0
57,69353,43,Single,Artist,0
38,83373,67,Married,Teacher,1
43,33392,26,Single,Business,0
32,22659,17,Single,Doctor,0
24,64898,51,Single,Artist,0
32,25433,23,Single,Engineer,0
29,112201,69,Married,Lawyer,1
62,99256,77,Married,Teacher,1
45,70594,9,Married,Artist,0
63,24493,11,Single,Business,0
54,64900,43,Married,Artist,0
48,38099,58,Single,Teacher,0
24,132329,81,Single,Doctor,1
62,70952,19,Married,Teacher,0
54,132528,69,Married,Business,1
61,98574,67,Married,Doctor,1
45,62856,7,Married,Engineer,0
29,31639,53,Single,Engineer,0
24,116939,61,Single,Doctor,1
19,36715,6,Single,Business,0
23,71546,31,Single,Lawyer,0
52,91302,96,Single,Lawyer,1
41,44173,17,Married,Artist,0
29,31101,52,Married,Lawyer,0
45,67968,54,Married,Doctor,0
30,114349,91,Single,Artist,1
32,37154,19,Married,Doctor,0
28,90488,78,Single,Doctor,1
27,89348,84,Married,Artist,1
47,45215,45,Single,Business,0
64,118413,100,Single,Teacher,1
50,126271,78,Single,Business,1
42,81324,67,Married,Lawyer,1
49,91314,97,Married,Doctor,1
48,118110,78,Married,Lawyer,1
44,127926,65,Married,Engineer,1
21,56129,36,Married,Doctor,0
33,119915,74,Married,Teacher,1
63,88567,100,Single,Artist,1
39,95254,76,Married,Doctor,1
41,93224,74,Single,Lawyer,1
46,81605,63,Married,Lawyer,1
61,37709,3,Married,Engineer,0
51,121832,87,Single,Business,1
21,133173,95,Married,Lawyer,1
59,74128,8,Single,Business,0
55,117626,91,Married,Lawyer,1
63,89111,95,Single,Business,1
25,120943,82,Married,Engineer,1
26,33230,37,Married,Artist,0
19,80412,89,Single,Engineer,1
55,71649,19,Single,Lawyer,0
51,99198,83,Married,Business,1
64,140004,94,Single,Doctor,1
57,123872,92,Single,Lawyer,1
22,29342,37,Single,Engineer,0
54,123286,90,Single,Artist,1
36,85408,99,Single,Business,1
33,103710,75,Married,Lawyer,1
50,55820,11,Married,Doctor,0
38,79845,6,Single,Lawyer,0
49,123125,70,Single,Lawyer,1
23,60603,2,Single,Doctor,0
29,116159,63,Married,Lawyer,1
45,87357,92,Married,Teacher,1
24,29346,46,Single,Business,0
54,52994,48,Married,Artist,0
26,103954,100,Married,Engineer,1
36,32336,13,Single,Business,0
49,110523,93,Married,Teacher,1
45,57418,56,Married,Doctor,0
47,24079,51,Single,Engineer,0
62,93807,81,Single,Lawyer,1
22,133871,77,Single,Artist,1
25,39330,41,Single,Business,0
43,72350,49,Single,Doctor,0
52,83709,65,Married,Doctor,1
57,36743,35,Single,Business,0
28,35114,54,Single,Lawyer,0
58,123088,82,Married,Business,1
59,140566,88,Single,Teacher,1
59,109703,66,Married,Teacher,1
34,58211,29,Single,Artist,0
18,135180,88,Single,Lawyer,1
49,33947,52,Single,Teacher,0
21,27851,54,Married,Artist,0
37,135393,86,Single,Business,1
52,110354,77,Married,Business,1
33,121157,74,Married,Business,1
18,121240,84,Single,Lawyer,1
22,127523,64,Single,Doctor,1
38,65639,24,Single,Doctor,0
29,94382,80,Married,Artist,1
54,92763,96,Married,Teacher,1
38,53703,24,Single,Doctor,0
50,85126,80,Married,Business,1
28,145953,77,Married,Teacher,1
23,34868,1,Single,Lawyer,0
59,139031,61,Single,Artist,1
50,26317,7,Single,Artist,0
56,119809,84,Married,Teacher,1
62,20778,46,Married,Artist,0
56,34376,29,Single,Engineer,0
63,107139,66,Married,Business,1
46,72826,37,Single,Business,0
37,41953,56,Married,Doctor,0
41,134693,76,Married,Artist,1
25,135129,96,Married,Doctor,1
61,116208,79,Married,Engineer,1
42,73330,17,Married,Teacher,0
47,116455,91,Single,Business,1
39,54396,56,Married,Doctor,0
62,37569,30,Married,Engineer,0
24,148450,89,Married,Teacher,1
53,134098,70,Married,Teacher,1
27,20155,34,Single,Engineer,0
41,58392,17,Married,Teacher,0
59,140100,79,Single,Artist,1
59,93116,63,Single,Teacher,1
63,138067,71,Married,Teacher,1
30,66571,46,Single,Engineer,0
46,145215,75,Single,Business,1
36,43383,54,Married,Artist,0
63,42424,46,Single,Lawyer,0
35,142856,74,Married,Lawyer,1
57,39539,49,Married,Engineer,0
49,21089,37,Married,Engineer,0
20,122101,97,Married,Teacher,1
37,96779,90,Married,Artist,1
42,42746,24,Married,Teacher,0
34,21958,22,Single,Doctor,0
21,70981,6,Married,Lawyer,0
62,25906,36,Married,Lawyer,0
41,114578,81,Single,Doctor,1
32,66305,26,Married,Artist,0
49,136264,71,Single,Engineer,1
49,80117,92,Single,Engineer,1
56,29277,38,Married,Teacher,0
22,149724,94,Married,Business,1
34,115854,64,Single,Doctor,1
20,74312,48,Married,Engineer,0
35,27368,16,Married,Doctor,0
20,31093,34,Single,Artist,0
39,41125,22,Married,Engineer,0
18,48365,26,Married,Lawyer,0
64,38230,60,Single,Lawyer,0
34,104285,68,Married,Teacher,1
22,136942,86,Single,Engineer,1
23,133682,85,Married,Artist,1
50,125543,98,Married,Teacher,1
50,100309,100,Married,Doctor,1
19,37858,39,Married,Teacher,0
24,38626,28,Single,Doctor,0
63,44995,32,Single,Teacher,0
42,108295,97,Married,Business,1
19,94489,79,Married,Lawyer,1
44,126540,96,Single,Lawyer,1
46,48369,45,Single,Business,0
42,25808,47,Married,Lawyer,0
42,80728,78,Single,Business,1
48,46475,3,Married,Doctor,0
62,59758,47,Single,Business,0
18,82336,66,Married,Lawyer,1
54,62864,45,Single,Lawyer,0
53,24378,38,Single,Engineer,0
61,22282,25,Married,Engineer,0
42,145510,100,Married,Doctor,1
36,107350,87,Single,Lawyer,1
21,113307,94,Married,Doctor,1
49,76510,44,Married,Lawyer,0
34,79042,37,Married,Artist,0
18,112154,95,Married,Lawyer,1
53,100358,85,Single,Artist,1
18,117080,70,Married,Artist,1
58,122348,74,Single,Teacher,1
20,88702,95,Single,Doctor,1
32,41386,32,Single,Engineer,0
33,41778,58,Married,Engineer,0
39,40961,56,Married,Engineer,0
48,37839,26,Single,Doctor,0
21,60312,15,Married,Teacher,0
51,108016,69,Married,Teacher,1
52,108699,89,Married,Teacher,1
30,51337,30,Single,Doctor,0
35,121555,100,Single,Artist,1
33,33467,41,Single,Business,0
60,82219,94,Single,Doctor,1
58,122344,72,Single,Lawyer,1
60,70683,55,Married,Teacher,0
39,100611,100,Single,Lawyer,1
43,90789,100,Married,Doctor,1
59,33686,32,Single,Engineer,0
36,105053,92,Married,Lawyer,1
59,56027,17,Single,Lawyer,0
23,94060,93,Single,Teacher,1
37,24912,57,Married,Business,0
29,59832,24,Single,Lawyer,0
47,42967,31,Single,Engineer,0
59,104214,95,Married,Lawyer,1
23,91130,83,Single,Teacher,1
64,65714,3,Married,Doctor,0
32,32466,8,Married,Business,0
41,20645,49,Single,Lawyer,0
35,32743,15,Single,Artist,0
32,44950,19,Married,Business,0
41,104818,95,Single,Business,1
18,79675,6,Married,Doctor,0
37,98777,89,Married,Lawyer,1
48,86801,97,Married,Artist,1
56,133028,95,Married,Lawyer,1
28,30487,13,Single,Engineer,0
62,118088,72,Single,Doctor,1
26,109189,93,Married,Artist,1
42,132796,73,Married,Engineer,1
57,83267,67,Married,Business,1
44,23134,18,Single,Business,0
43,117219,89,Single,Lawyer,1
45,117892,81,Single,Artist,1
45,122918,80,Married,Engineer,1
48,47516,4,Married,Artist,0
56,78487,33,Married,Lawyer,0
33,42433,5,Single,Engineer,0
47,86229,69,Single,Doctor,1
50,98384,80,Married,Business,1
38,41259,45,Married,Teacher,0
41,62604,60,Married,Artist,0
57,68200,44,Single,Doctor,0
52,30058,27,Married,Artist,0
51,23760,49,Married,Doctor,0
33,50795,40,Married,Engineer,0
58,71875,27,Single,Doctor,0
40,64299,4,Single,Lawyer,0
31,118102,68,Single,Lawyer,1
39,120631,89,Married,Artist,1
54,52762,35,Married,Teacher,0
41,87543,82,Single,Artist,1
30,106614,66,Married,Engineer,1
22,75284,22,Married,Lawyer,0
28,46649,1,Married,Lawyer,0
35,81062,89,Single,Business,1
54,38019,13,Married,Doctor,0
45,27461,4,Single,Artist,0
31,104504,64,Married,Engineer,1
57,100559,90,Married,Doctor,1
20,33615,29,Single,Teacher,0
45,97100,95,Single,Engineer,1
22,50090,30,Married,Artist,0
41,42432,23,Married,Artist,0
43,72780,28,Married,Engineer,0
51,52402,38,Married,Artist,0
27,27446,44,Married,Doctor,0
57,55292,19,Single,Doctor,0
59,86469,64,Single,Lawyer,1
22,31738,36,Single,Lawyer,0
24,132224,65,Single,Doctor,1
64,82443,70,Married,Teacher,1
56,147728,83,Single,Business,1
59,145545,67,Single,Business,1
57,56788,37,Married,Lawyer,0
18,44217,8,Single,Engineer,0
38,98030,61,Married,Lawyer,1
60,29587,1,Single,Business,0
64,56268,19,Married,Lawyer,0
27,28770,9,Married,Teacher,0
31,92999,72,Married,Teacher,1
18,85569,68,Married,Teacher,1
38,79518,14,Married,Teacher,0
51,49304,6,Single,Lawyer,0
40,93234,95,Married,Business,1
36,52327,35,Single,Business,0
40,122533,63,Married,Lawyer,1
29,46167,11,Single,Artist,0
46,94153,77,Single,Business,1
26,58547,23,Married,Doctor,0
18,30332,42,Married,Doctor,0
46,106432,91,Married,Lawyer,1
53,96748,90,Single,Artist,1
52,31002,44,Single,Business,0
20,96907,64,Married,Doctor,1
39,97955,82,Single,Engineer,1
47,54775,4,Single,Teacher,0
58,61855,9,Married,Engineer,0
30,100384,99,Single,Doctor,1
21,114529,68,Single,Teacher,1
43,104071,74,Single,Engineer,1
48,86254,90,Married,Artist,1
28,124238,66,Married,Teacher,1
25,103625,93,Single,Teacher,1
34,84748,62,Single,Lawyer,1
33,100609,96,Married,Teacher,1
21,44370,15,Married,Artist,0
60,21875,57,Married,Lawyer,0
55,29885,5,Single,Business,0
19,81828,85,Married,Business,1
64,139163,99,Married,Lawyer,1
43,141877,77,Single,Artist,1
27,60572,45,Single,Teacher,0
52,74869,17,Married,Artist,0
40,113591,95,Single,Business,1
38,72142,24,Married,Doctor,0
58,48276,51,Married,Engineer,0
31,49492,18,Single,Doctor,0
60,27418,57,Single,Teacher,0
59,96984,88,Single,Teacher,1
61,101689,61,Married,Teacher,1
25,71618,27,Single,Doctor,0
57,75296,3,Married,Artist,0
37,31240,51,Married,Teacher,0
52,40389,3,Married,Engineer,0
31,85415,89,Single,Artist,1
25,63553,37,Married,Engineer,0
49,125445,66,Single,Teacher,1
54,118765,85,Married,Engineer,1
23,60583,16,Married,Teacher,0
52,93918,65,Single,Teacher,1
29,35812,55,Single,Teacher,0
18,122929,73,Married,Lawyer,1
33,23828,39,Married,Engineer,0
29,144484,84,Married,Engineer,1
52,67246,21,Married,Artist,0
43,66546,2,Single,Teacher,0
40,66738,19,Married,Teacher,0
59,114387,98,Married,Artist,1
32,135284,83,Married,Engineer,1
32,31777,48,Married,Lawyer,0
18,93843,77,Married,Business,1
57,140921,79,Single,Lawyer,1
28,122944,79,Married,Business,1
28,52698,47,Married,Business,0
32,103574,94,Single,Business,1
50,31120,28,Married,Artist,0
35,30213,42,Single,Engineer,0
23,36977,22,Single,Engineer,0
23,21998,47,Single,Engineer,0
19,112254,69,Single,Lawyer,1
50,54624,56,Married,Engineer,0
62,84632,64,Single,Business,1
40,58244,21,Married,Artist,0
63,28333,2,Married,Engineer,0
34,100128,100,Single,Business,1
45,88007,100,Single,Business,1
56,142680,71,Married,Engineer,1
34,76696,5,Single,Engineer,0
53,52174,50,Married,Teacher,0
35,64333,28,Single,Artist,0
63,54888,12,Single,Teacher,0
50,67775,41,Single,Doctor,0
32,85951,94,Single,Teacher,1
50,84621,85,Married,Business,1
21,27230,48,Single,Artist,0
42,48669,33,Single,Engineer,0
47,64619,40,Married,Engineer,0
39,70290,40,Single,Doctor,0
62,92219,88,Married,Artist,1
20,86949,86,Single,Teacher,1
41,56636,57,Married,Lawyer,0
29,57822,11,Single,Teacher,0
46,22597,28,Married,Business,0
63,38888,11,Single,Business,0
22,79165,27,Married,Teacher,0
61,149896,68,Single,Business,1
29,113434,95,Married,Teacher,1
18,64179,33,Single,Artist,0
62,126197,94,Single,Doctor,1
36,25827,45,Married,Doctor,0
39,25889,28,Single,Doctor,0
38,140279,96,Single,Doctor,1
22,69068,23,Married,Engineer,0
54,23311,59,Single,Artist,0
41,119282,99,Married,Artist,1
39,37543,14,Single,Artist,0
